Flat_Name,Flat_Location,Flat_Price,Flat_image_url
 2+1 53 m²,"Velká nad Veličkou, district Hodonín",2860000,"https://d18-a.sdn.cz/d_18/c_img_QP_K8/XRkBewB.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+1 37 m²,"Na Zámyšli, Praha 5 - Košíře",5190000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/yqQBJ15.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 102 m²,"Jurečkova, Ostrava - Moravská Ostrava",1,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/4bgBgWQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 102 m²,"Pod Lipami, Praha 3 - Žižkov",11190000,"https://d18-a.sdn.cz/d_18/c_img_QM_Ks/bmdBlQ9.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 76 m²,"Chropyňská, Kroměříž",3990000,"https://d18-a.sdn.cz/d_18/c_img_QL_KA/7N9PPa.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+1 39 m²,"Ke Strašnické, Praha 10 - Strašnice",5000000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/PAzb5S.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 37 m²,"Lipno nad Vltavou, district Český Krumlov",5290000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/Ui5BZRb.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 53 m²,"Větrná, Odolena Voda",3800000,"https://d18-a.sdn.cz/d_18/c_img_QN_J9/r8HFHy.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 50 m²,"Luštěnice - Zelená, district Mladá Boleslav",2790000,"https://d18-a.sdn.cz/d_18/c_img_QP_LG/HKaRfU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 58 m²,"Československého exilu, Praha 4 - Modřany",12410000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/iN8BJ1U.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 54 m²,"Družstevní ochoz, Praha 4 - Nusle",6903000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/VAK4dM.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 114 m² (Mezonet),"Havířov, district Karviná",5990000,"https://d18-a.sdn.cz/d_18/c_img_QM_Kc/D2YBuUN.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 85 m²,"U Lipek, Havířov - Bludovice",4990000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lg/h5KCEJP.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 85 m²,"Modrá, Petřvald",3990000,"https://d18-a.sdn.cz/d_18/c_img_gS_z/JctB9j.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 35 m²,"Argentinská, Praha 7 - Holešovice",6099000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/fWqdVN.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 79 m²,"Smrčinská, Praha 5 - Smíchov",11490000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jq/WfXrHQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 35 m²,"U Průhonu, Praha 7 - Holešovice",6799000,"https://d18-a.sdn.cz/d_18/c_img_gZ_0/DK9FOU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 85 m²,"Havířov, district Karviná",4790000,"https://d18-a.sdn.cz/d_18/c_img_gY_0/azYCPl.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 5+1 87 m²,"Arnošta z Pardubic, Pardubice - Zelené Předměstí",5650000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/G2EBcv5.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+1 2 m²,"Adamovská, Adamov",19689700,"https://d18-a.sdn.cz/d_18/c_img_QM_Ks/G0UBlY7.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 57 m²,"Na hroudě, Praha 10 - Strašnice",6300000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/p7ABGGb.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 47 m²,"Kotlářka, Praha 5 - Košíře",6800000,"https://d18-a.sdn.cz/d_18/c_img_QO_LA/YamU2m.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 54 m²,"Žižkova tř., České Budějovice - České Budějovice 6",3250000,"https://d18-a.sdn.cz/d_18/c_img_QO_LA/P38Vty.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 32 m²,"Kavaleristů, Olomouc - Hodolany",2850000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/AabBI8w.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 29 m²,"Václava Trojana, Praha 10 - Uhříněves",4000000,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/roUFGk.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 60 m²,"Týnec nad Sázavou - Brodce, district Benešov",3980000,"https://d18-a.sdn.cz/d_18/c_img_gQ_0/CykUln.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 71 m²,"Sídl. Míru, Volary",3290000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/cSNBJ7C.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 75 m²,"Prokopova, Praha 3 - Žižkov",8500000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/Fkb9ZP.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+1 130 m²,"Sulova, Praha - Zbraslav",11830000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/tyRB2BJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 57 m²,"Merklín, district Karlovy Vary",1550000,"https://d18-a.sdn.cz/d_18/c_img_QK_Js/jEJBaIj.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 75 m²,"U Koruny, Hradec Králové - Pražské Předměstí",5430000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/x5jdte.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 55 m²,"Renneská třída, Brno - Štýřice",5690000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/ursBC5F.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 106 m²,"Humpolecká, Pelhřimov",8890000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/7EkBWCW.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 105 m² (Mezonet),"Na Výsluní, Tursko",8700000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/Zr3uQ1.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 28 m²,"Nádražní, Praha 5 - Smíchov",4490000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/BR6zNE.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 77 m²,"Okružní, Zlín",5290000,"https://d18-a.sdn.cz/d_18/c_img_QP_LG/aIKBFql.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 60 m²,"Verneřická, Praha 9 - Střížkov",5200000,"https://d18-a.sdn.cz/d_18/c_img_gS_0/pFqQpl.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 50 m²,"Lány, Veselí nad Moravou",2700000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/RJwBieh.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 67 m²,"Komenského, Lednice",3950000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/MNTBWx6.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 117 m²,"Nad Ryšánkou, Praha 4 - Krč",19950000,"https://d18-a.sdn.cz/d_18/c_img_QM_Kb/BB4B2JK.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 41 m²,"Nezamyslova, Praha 2 - Nusle",6560000,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/5yP4pz.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 95 m²,"Moskevská, Praha 10 - Vršovice",16850000,"https://d18-a.sdn.cz/d_18/c_img_gR_0/WuKaeh.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 71 m²,"K Lesu, Nymburk",7740000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/LSkBAtE.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 5+1 225 m²,"Polská, Praha 2 - Vinohrady",1,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/YQm7xo.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 136 m²,"Růžová, Praha 1 - Nové Město",20490000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/9iGsQo.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 70 m²,"Na rovnosti, Praha 3 - Žižkov",8390000,"https://d18-a.sdn.cz/d_18/c_img_gT_4/euOCo3.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 147 m² (Mezonet),"V Horkách, Praha 4 - Nusle",13900000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/Pt2BOST.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 52 m²,"Vratimovská, Praha 9 - Letňany",5990000,"https://d18-a.sdn.cz/d_18/c_img_QI_Jr/ctZj0o.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 31 m²,"Komárovská, Brno - Komárov",4599355,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/f4Yitg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 64 m²,"Oty Pavla, Praha 10 - Záběhlice",5298000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/eb3Rzx.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 45 m²,"Podkovářská, Praha 9 - Vysočany",5480000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/oYI6bV.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 63 m²,"Vlasty Fialové, Brno - Sadová",8290000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/885BX9N.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 63 m²,"Blažovická, Brno - Slatina",5490000,"https://d18-a.sdn.cz/d_18/c_img_gT_4/VNFJS2.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 65 m² (Single-storey),"Vosmíkových, Praha 8 - Libeň",7390000,"https://d18-a.sdn.cz/d_18/c_img_QM_Ks/Jsu8Pu.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 72 m²,"Volgogradská, Ostrava - Zábřeh",2850000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/rzrBZJT.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+1 107 m²,"Jiřího Wolkera, Teplice",3499650,"https://d18-a.sdn.cz/d_18/c_img_QO_LA/IAPBk2p.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 61 m²,"Československého exilu, Praha 4 - Modřany",12031400,"https://d18-a.sdn.cz/d_18/c_img_QI_Jr/gO2BFMN.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 24 m²,"Čenětická, Praha 4 - Chodov",3852000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/sSEBJwJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 53 m²,"Oldřichova, Praha 2 - Nusle",6250000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/HVDBlih.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 92 m²,"Polská, Praha 2 - Vinohrady",17900000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/G3Ssys.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 74 m²,"J. Bendy, České Budějovice - České Budějovice 2",4150000,"https://d18-a.sdn.cz/d_18/c_img_QO_LA/BqyBdm8.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 55 m²,"Štefánikova, Brno - Ponava",5990000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lr/hzzsg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 89 m²,"Podlesí, Brno - Komín",8490000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/rUkBXhg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 85 m²,"Pod Žvahovem, Praha 5 - Hlubočepy",9490000,"https://d18-a.sdn.cz/d_18/c_img_QM_Ks/M43BXxy.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 50 m²,"Křečovice - Živohošť, district Benešov",3250000,"https://d18-a.sdn.cz/d_18/c_img_gR_z/fgyKy.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 65 m²,"Slepá, Milovice - Mladá",3299000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/F54BZNQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 56 m²,"Popelky Biliánové, Králův Dvůr",4200000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/1jQBKDO.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 62 m²,"U Mrázovky, Praha 5 - Smíchov",8490000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/pVNBZPw.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 5+kt 230 m²,"Svěceného, Praha 9 - Třeboradice",8799000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/Zq6uWZ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 34 m²,"Lesík, Kladno",2879800,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/OSpBV6H.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 94 m²,"Lesík, Kladno",8774550,"https://d18-a.sdn.cz/d_18/c_img_QM_Ks/5NkBjoS.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 129 m²,"Nádražní, Praha 5 - Smíchov",32200744,"https://d18-a.sdn.cz/d_18/c_img_QO_K7/w3TBV1P.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 48 m²,"Lesík, Kladno",4573000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/Yn3Bjvj.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 74 m²,"Lesík, Kladno",6460620,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/vWGBjvh.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 42 m²,"Prokopa Velikého, Brno - Líšeň",4912500,"https://d18-a.sdn.cz/d_18/c_img_QK_Jv/EVfIP7.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 70 m²,"Leoše Janáčka, Kladno",5490000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/gqv6eu.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 62 m²,"Přibice, district Brno-venkov",4482105,"https://d18-a.sdn.cz/d_18/c_img_QN_KD/8MeB202.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 79 m²,"Bělomlýnská, Praha - Praha-Čakovice",9172000,"https://d18-a.sdn.cz/d_18/c_img_gW_z/64ZTCz.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 69 m²,"Nehvizdy, district Praha-východ",6279000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/SDhBbXG.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 64 m²,"náměstí Osvoboditelů, Praha 5 - Radotín",9217194,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/cseBX5c.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 61 m²,"Škvorecká, Úvaly",7450000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/POC9Mf.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 84 m²,"Bělomlýnská, Praha - Praha-Čakovice",9596000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/C5VhcF.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 59 m²,"Soudní, Praha 4 - Nusle",7190000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/ru4BlQr.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 81 m²,"Železná Ruda, district Klatovy",9480000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/ZFQBdEa.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 115 m²,"Baarova, Praha 4 - Michle",1,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/Zdt7mM.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 47 m²,"Arménská, Kladno - Kročehlavy",4218590,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/88ZBV1A.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 79 m²,"Pod Lipami, Praha 3 - Žižkov",7990000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/D7SBCFZ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 66 m²,"Arménská, Kladno - Kročehlavy",4533300,"https://d18-a.sdn.cz/d_18/c_img_QO_LA/aY4BjKg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 43 m²,"Jankovská, Praha 4 - Krč",6350000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/UcOBgcw.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 42 m²,"Drahobejlova, Praha 9 - Libeň",7210000,"https://d18-a.sdn.cz/d_18/c_img_gV_2/zpNSYf.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 159 m²,"U kombinátu, Praha 10 - Strašnice",17490000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/lHwBgv8.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 135 m²,"Kobrova, Praha 5 - Smíchov",19950000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/wYB45Y.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 270 m²,"Popovičky - Nebřenice, district Praha-východ",1,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/IR7BThf.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 58 m²,"Rohanské nábřeží, Praha 8 - Karlín",12850000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/fz0BbXM.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 47 m²,"Arménská, Kladno - Kročehlavy",5446760,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/QUKBV1b.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 77 m²,"Vladislavova, Praha 1 - Nové Město",12500000,"https://d18-a.sdn.cz/d_18/c_img_QN_KB/EdeOi.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 118 m² (Mezonet),"Drahobejlova, Praha 9 - Libeň",19070000,"https://d18-a.sdn.cz/d_18/c_img_gV_2/z8HTS3.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 50 m²,"sídliště U Nádraží, Jindřichův Hradec - Jindřichův Hradec II",2400000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/ckPBb7x.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 38 m²,"Vladimíra Kobranova, Praha",6984600,"https://d18-a.sdn.cz/d_18/c_img_QM_KL/rgvJc8.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 54 m²,"Vladimíra Kobranova, Praha",8690000,"https://d18-a.sdn.cz/d_18/c_img_gW_p/luHZPs.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 113 m²,"Vladimíra Kobranova, Praha",21388200,"https://d18-a.sdn.cz/d_18/c_img_QL_Jt/RtuqqI.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 56 m²,"Omlenice - Omlenička, district Český Krumlov",2280000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/uxcBDFU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 81 m²,"Vojtěcha Lanny, Kladno",6950000,"https://d18-a.sdn.cz/d_18/c_img_gY_z/1yME7U.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 50 m²,Praha 5,6390000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/zwZBlRO.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 59 m²,"Elektrárenská, Praha 10 - Michle",6690000,"https://d18-a.sdn.cz/d_18/c_img_gR_0/629V6n.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 89 m²,"U jezera, Praha 5 - Stodůlky",8290000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/mE4Bjx8.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 52 m²,"Panelová, Ostrava - Poruba",2190000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/PQjK36.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 62 m²,"Kakosova, Praha 5 - Řeporyje",6750000,"https://d18-a.sdn.cz/d_18/c_img_QI_Jr/zOjD6g.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 150 m² (Mezonet),"B. Němcové, Hostivice",10490000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/Ly83fU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 80 m²,"V Roháči I., Jesenice",7890000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/acxchv.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 31 m²,"Komárovská, Brno - Komárov",4255918,"https://d18-a.sdn.cz/d_18/c_img_gX_0/hq4aL5.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 69 m²,"Sochorova, Vyškov",3400000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/NFaqgu.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 140 m²,"Pitterova, Praha 3 - Žižkov",16900000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/WVdBhj7.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 79 m²,"Radotínská, Bílovec",2750000,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/Dvi5xw.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 73 m²,"Karlínské náměstí, Praha 8 - Karlín",10900000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/hrpBH41.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 113 m²,"Letohradská, Kamenice - Ládví",8900000,"https://d18-a.sdn.cz/d_18/c_img_gS_0/DCvWJS.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 52 m²,"Zrzavého, Praha 6 - Řepy",6500000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/1pcY18.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 100 m²,"Jindřicha Plachty, Praha 5 - Smíchov",14950000,"https://d18-a.sdn.cz/d_18/c_img_QP_LH/W3Bi07.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 51 m²,"Janovského, Praha 7 - Holešovice",8900000,"https://d18-a.sdn.cz/d_18/c_img_QR_MI/t1pBXQb.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 133 m²,"Uhříněveská, Průhonice",1,"https://d18-a.sdn.cz/d_18/c_img_QO_K5/7H3BRz0.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 43 m²,"U Půjčovny, Praha 1 - Nové Město",8990000,"https://d18-a.sdn.cz/d_18/c_img_QQ_LX/xqQHz7.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 51 m²,"Korunní, Praha 10 - Vinohrady",7500000,"https://d18-a.sdn.cz/d_18/c_img_QI_Jr/47hZwT.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 56 m²,"Komárovská, Brno - Komárov",7298342,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/PTNkFJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 48 m²,"Maroldova, Praha 4 - Nusle",9127000,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/GTiYfP.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 74 m²,"Maroldova, Praha 4 - Nusle",13080000,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/bwpZTp.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
